filename; ATTRIBUTE_strain; ATTRIBUTE_solvent;ATTRIBUTE_Bacteria
B440-3-Bu.mzXML;B440;Bu;S.tropica
B440-3-EA.mzXML;B440;EA;S.tropica
B440-3-Me.mzXML;B440;Me;S.tropica
B458-3-Bu.mzXML;B458;Bu;S.arenicola
B458-3-EA.mzXML;B458;EA;S.arenicola
B458-3-Me.mzXML;B458;Me;S.arenicola
B476-3-Bu.mzXML;B476;Bu;S.tropica
B476-3-EA.mzXML;B476;EA;S.tropica
B476-3-Me.mzXML;B476;Me;S.tropica
B527-3-Bu.mzXML;B527;Bu;S.arenicola
B527-3-EA.mzXML;B527;EA;S.arenicola
B527-3-Me.mzXML;B527;Me;S.arenicola
B536-3-Bu.mzXML;B536;Bu;S.tropica
B536-3-EA.mzXML;B536;EA;S.tropica
B536-3-Me.mzXML;B536;Me;S.tropica
H643-3-Bu.mzXML;H643;Bu;S.arenicola
H643-3-EA.mzXML;H643;EA;S.arenicola
H643-3-Me.mzXML;H643;Me;S.arenicola
H646-3-Bu.mzXML;H646;Bu;S.arenicola
H646-3-EA.mzXML;H646;EA;S.arenicola
H646-3-Me.mzXML;H646;Me;S.arenicola
H713-3-Bu.mzXML;H713;Bu;S.arenicola
H713-3-EA.mzXML;H713;EA;S.arenicola
H713-3-Me.mzXML;H713;Me;S.arenicola
H718-3-Bu.mzXML;H718;Bu;S.arenicola
H718-3-EA.mzXML;H718;EA;S.arenicola
H718-3-Me.mzXML;H718;Me;S.arenicola
H732-3-Bu.mzXML;H732;Bu;S.pacifica
H732-3-EA.mzXML;H732;EA;S.pacifica
H732-3-Me.mzXML;H732;Me;S.pacifica
H877-3-Bu.mzXML;H877;Bu;S.arenicola
H877-3-EA.mzXML;H877;EA;S.arenicola
H877-3-Me.mzXML;H877;Me;S.arenicola
H898-3-Bu.mzXML;H898;Bu;S.tropica
H898-3-EA.mzXML;H898;EA;S.tropica
H898-3-Me.mzXML;H898;Me;S.tropica
H905-3-Bu.mzXML;H905;Bu;S.arenicola
H905-3-EA.mzXML;H905;EA;S.arenicola
H905-3-Me.mzXML;H905;Me;S.arenicola
H941-3-Bu.mzXML;H941;Bu;S.arenicola
H941-3-EA.mzXML;H941;EA;S.arenicola
H941-3-Me.mzXML;H941;Me;S.arenicola
H962-3-Bu.mzXML;H962;Bu;S.arenicola
H962-3-EA.mzXML;H962;EA;S.arenicola
H962-3-Me.mzXML;H962;Me;S.arenicola
H963-3-Bu.mzXML;H963;Bu;S.arenicola
H963-3-EA.mzXML;H963;EA;S.arenicola
H963-3-Me.mzXML;H963;Me;S.arenicola
H964-3-Bu.mzXML;H964;Bu;S.arenicola
H964-3-EA.mzXML;H964;EA;S.arenicola
H964-3-Me.mzXML;H964;Me;S.arenicola
H996-3-Bu.mzXML;H996;Bu;S.arenicola
H996-3-EA.mzXML;H996;EA;S.arenicola
H996-3-Me.mzXML;H996;Me;S.arenicola
P105-3-Bu.mzXML;P105;Bu;S.arenicola
P105-3-EA.mzXML;P105;EA;S.arenicola
P105-3-Me.mzXML;P105;Me;S.arenicola
P193-3-Bu.mzXML;P193;Bu;S.arenicola
P193-3-EA.mzXML;P193;EA;S.arenicola
P193-3-Me.mzXML;P193;Me;S.arenicola
Q748-3-Bu.mzXML;Q748;Bu;S.arenicola
Q748-3-EA.mzXML;Q748;EA;S.arenicola
Q748-3-Me.mzXML;Q748;Me;S.arenicola
Q768-3-Bu.mzXML;Q768;Bu;S.pacifica
Q768-3-EA.mzXML;Q768;EA;S.pacifica
Q768-3-Me.mzXML;Q768;Me;S.pacifica
Q884-3-Bu.mzXML;Q884;Bu;S.arenicola
Q884-3-EA.mzXML;Q884;EA;S.arenicola
Q884-3-Me.mzXML;Q884;Me;S.arenicola
R107-3-Bu.mzXML;R107;Bu;S.arenicola
R107-3-EA.mzXML;R107;EA;S.arenicola
R107-3-Me.mzXML;R107;Me;S.arenicola
R114-3-Bu.mzXML;R114;Bu;S.pacifica
R114-3-EA.mzXML;R114;EA;S.pacifica
R114-3-Me.mzXML;R114;Me;S.pacifica
R425-3-Bu.mzXML;R425;Bu;S.arenicola
R425-3-EA.mzXML;R425;EA;S.arenicola
